id,timestamp,log_type,schema_version,event_name,session_id,attempt_id,browser_id,route,details
98b17670-ad20-4123-9365-8bc4158cec4f,2025-09-27T17:20:52.767127,backend,http_response.v1,http_response,backend,f97bd627-143d-4d3e-b36e-86a57e642260,backend,/api/orders/25/reject,{}
449eb3d6-071d-4346-83cd-704ff7163229,2025-09-27T17:20:52.750618,backend,http_request.v1,http_request,backend,e02f29df-6882-417d-b4c7-3b3e1b1d656b,backend,/api/orders/25/reject,{}
2a1c12b9-7bb1-4c78-ac3c-f58672839794,2025-09-27T17:20:52.740887,backend,http_response.v1,http_response,backend,8c3ce79f-5b5a-40c1-928b-af63a8d73271,backend,/api/orders/25/reject,{}
28f5f0b9-617a-43f3-9625-e01427db634a,2025-09-27T17:20:52.733850,backend,http_request.v1,http_request,backend,2399cd07-caad-4fe3-8430-54868ca5bddc,backend,/api/orders/25/reject,{}
6a862825-12e2-4950-8632-7dbda65419d4,2025-09-27T17:20:50.504576,backend,http_response.v1,http_response,backend,0437745e-8d4e-4d3e-b505-8eae50d169dc,backend,/api/orders/,{}
38332f94-dc31-4c2b-80dd-a58bb8d09e14,2025-09-27T17:20:50.494939,backend,http_request.v1,http_request,backend,6a69b3bc-5d20-4ceb-8883-d56d5256c82f,backend,/api/orders/,{}
9ec1c03c-4ee5-4c02-a416-1ecb15e9f1ea,2025-09-27T17:20:50.240235,backend,http_response.v1,http_response,backend,c3db2eee-641e-4ba8-a327-fde02d3ff08a,backend,/api/orders/,{}
c9198e20-3e68-4588-9842-c743a6314126,2025-09-27T17:20:50.230407,backend,http_request.v1,http_request,backend,f023a011-67a2-407f-be78-88ac1bfe294e,backend,/api/orders/,{}
2a0a06d6-c21d-4ca9-b546-d44434230d44,2025-09-27T17:20:45.683670,backend,http_response.v1,http_response,backend,a6b1c55e-7595-4c14-be6a-341c1aa88fc8,backend,/api/orders/14/details,{}
c8349fa3-dd2f-48d9-a638-5339ca803114,2025-09-27T17:20:45.671209,backend,http_request.v1,http_request,backend,c812133a-ce53-4d4d-b09b-3aa12643ef60,backend,/api/orders/14/details,{}
829db2e7-4351-4e1f-b542-fc64157d5fd8,2025-09-27T17:20:44.477228,backend,http_response.v1,http_response,backend,64ea8b5b-4671-4dd0-9a07-ece374955fa3,backend,/api/orders/,{}
4d751f91-b71f-4dce-aef5-e3083b8200d5,2025-09-27T17:20:44.467433,backend,http_request.v1,http_request,backend,994475b2-2e2d-4292-9c5d-af7634af3f16,backend,/api/orders/,{}
b7815e8c-4fa3-48b8-bf03-67e56cd7a708,2025-09-27T17:20:44.214625,backend,http_response.v1,http_response,backend,8d8f6a7c-15f6-4c7e-8873-b596489861b8,backend,/api/orders/,{}
f5282391-18a0-4ab5-ba27-13291036c330,2025-09-27T17:20:44.204456,backend,http_request.v1,http_request,backend,87ede001-f53f-44fc-8c2a-702911aaff91,backend,/api/orders/,{}
